ID,name,description,price,premium,category_ID
55555555-5555-5555-5555-555555555555,Office Chair,Ergonomic chair with lumbar support,199.99,false,22222222-2222-2222-2222-222222222222
66666666-6666-6666-6666-666666666666,Keyboard,Mechanical keyboard with backlight,79.99,false,11111111-1111-1111-1111-111111111111
20202020-2020-2020-2020-202020202020,Wireless Mouse,Compact wireless mouse,24.99,false,11111111-1111-1111-1111-111111111111
21212121-2121-2121-2121-212121212121,Standing Desk,Height adjustable desk,349.99,true,22222222-2222-2222-2222-222222222222
22222222-3333-4444-5555-666677778888,Desk Lamp,LED desk lamp with dimmer,34.99,false,77777777-7777-7777-7777-777777777777
23232323-2323-2323-2323-232323232323,Backpack,Water resistant laptop backpack,49.99,false,10101010-1010-1010-1010-101010101010
24242424-2424-2424-2424-242424242424,Notebook Set,Pack of 3 ruled notebooks,12.99,false,66666666-6666-6666-6666-666666666666
25252525-2525-2525-2525-252525252525,Yoga Mat,Non slip exercise mat,29.99,false,55555555-5555-5555-5555-555555555555
26262626-2626-2626-2626-262626262626,Storage Bin,Stackable plastic storage bin,15.99,false,88888888-8888-8888-8888-888888888888
27272727-2727-2727-2727-272727272727,Coffee Mug,Ceramic mug 350ml,9.99,false,44444444-4444-4444-4444-444444444444
