ID,product_ID,location,quantity
88888888-8888-8888-8888-888888888888,55555555-5555-5555-5555-555555555555,Warehouse B,50
99999999-9999-9999-9999-999999999999,66666666-6666-6666-6666-666666666666,Warehouse C,100
30303030-3030-3030-3030-303030303030,20202020-2020-2020-2020-202020202020,Warehouse A,80
31313131-3131-3131-3131-313131313131,21212121-2121-2121-2121-212121212121,Warehouse B,15
32323232-3232-3232-3232-323232323232,22222222-3333-4444-5555-666677778888,Warehouse A,60
33333333-4444-5555-6666-777788889999,23232323-2323-2323-2323-232323232323,Warehouse C,40
34343434-3434-3434-3434-343434343434,24242424-2424-2424-2424-242424242424,Warehouse A,200
35353535-3535-3535-3535-353535353535,25252525-2525-2525-2525-252525252525,Warehouse B,35
36363636-3636-3636-3636-363636363636,26262626-2626-2626-2626-262626262626,Warehouse C,90
37373737-3737-3737-3737-373737373737,27272727-2727-2727-2727-272727272727,Warehouse A,150
